City,Rate,County
Greenbrae (Larkspur*),0.09000,Marin
Greenfield*,0.09500,Monterey
Greenview,0.07250,Siskiyou
Greenville,0.07250,Plumas
Greenwood,0.07250,El Dorado
Grenada,0.07250,Siskiyou
Gridley*,0.07250,Butte
Grimes,0.07250,Colusa
Grizzly Flats,0.07250,El Dorado
Groveland,0.07250,Tuolumne
Grover Beach*,0.08750,San Luis Obispo
Guadalupe*,0.08750,Santa Barbara
Gualala,0.07875,Mendocino
Guasti (Ontario*),0.07750,San Bernardino
Guatay,0.07750,San Diego
Guerneville,0.08500,Sonoma
Guinda,0.07250,Yolo
Gustine*,0.08250,Merced
Hacienda Heights,0.09500,Los Angeles
Halcyon,0.07250,San Luis Obispo
Half Moon Bay*,0.09375,San Mateo
Hamilton A.F.B. (Novato*),0.08500,Marin
Hamilton City,0.07250,Glenn
Hanford*,0.07250,Kings
Happy Camp,0.07250,Siskiyou
Harbison Canyon,0.07750,San Diego
Harbor City (Los Angeles*),0.09500,Los Angeles
Harmony,0.07250,San Luis Obispo
Harris,0.07750,Humboldt
Hat Creek,0.07250,Shasta
Hathaway Pines,0.07250,Calaveras
Havasu Lake,0.07750,San Bernardino
Hawaiian Gardens*,0.10250,Los Angeles
Hawthorne*,0.10250,Los Angeles
Hayfork,0.07250,Trinity
Hayward*,0.10750,Alameda
Hazard,0.09500,Los Angeles
Healdsburg*,0.09000,Sonoma
Heber,0.07750,Imperial
Helena,0.07250,Trinity
Helendale,0.07750,San Bernardino
Helm,0.07975,Fresno
Hemet*,0.08750,Riverside
Herald,0.07750,Sacramento
Hercules*,0.09250,Contra Costa
Herlong,0.07250,Lassen
Hermosa Beach*,0.09500,Los Angeles
Herndon,0.07975,Fresno
Hesperia*,0.07750,San Bernardino
Heyer,0.10250,Alameda
Hickman,0.07875,Stanislaus
Hidden Hills*,0.09500,Los Angeles
Highgrove,0.07750,Riverside
Highland Park (Los Angeles*),0.09500,Los Angeles
Highland*,0.07750,San Bernardino
Highway City (Fresno*),0.07975,Fresno
Hillcrest (San Diego*),0.07750,San Diego
Hillsborough*,0.09375,San Mateo
Hillsdale (San Mateo*),0.09625,San Mateo
Hilmar,0.07750,Merced
Hilt,0.07250,Siskiyou
Hinkley,0.07750,San Bernardino
Hobergs,0.07250,Lake
Hollister*,0.09250,San Benito
Hollywood (Los Angeles*),0.09500,Los Angeles
Holmes,0.07750,Humboldt
Holt,0.07750,San Joaquin
Holtville*,0.07750,Imperial
Holy City,0.09125,Santa Clara
Homeland,0.07750,Riverside
Homestead,0.07250,Kern
Homestead,0.07750,Riverside
Homewood,0.07250,Placer
Honby,0.09500,Los Angeles
Honeydew,0.07750,Humboldt
Hood,0.07750,Sacramento
Hoopa,0.07750,Humboldt
Hope Valley (Forest Camp),0.07250,Alpine
Hopland,0.07875,Mendocino
Hornbrook,0.07250,Siskiyou
Hornitos,0.07750,Mariposa
Horse Creek,0.07250,Siskiyou
Horse Lake,0.07250,Lassen
Hughson*,0.07875,Stanislaus
Hume,0.07975,Fresno
Huntington,0.07750,Orange
Huntington Beach*,0.07750,Orange
Huntington Lake,0.07975,Fresno
Huntington Park*,0.10250,Los Angeles
Huron*,0.08975,Fresno
Hyampom,0.07250,Trinity
