year,city,county,rate,state
2022,Stratford,Kings,0.0725,CA
2022,Strawberry,Tuolumne,0.0725,CA
2022,Summit City,Shasta,0.0725,CA
2022,Sunset Whitney Ranch,Placer,0.0725,CA
2022,Susanville,Lassen,0.0725,CA
2022,Sutter,Sutter,0.0725,CA
2022,Taft,Kern,0.0725,CA
2022,Tahoe City,Placer,0.0725,CA
2022,Tahoe Paradise,El Dorado,0.0725,CA
2022,Tahoe Valley,El Dorado,0.0725,CA
2022,Tahoe Vista,Placer,0.0725,CA
2022,Tahoma,Placer,0.0725,CA
2022,Taylorsville,Plumas,0.0725,CA
2022,Tehachapi,Kern,0.0725,CA
2022,Tehama,Tehama,0.0725,CA
2022,Templeton,San Luis Obispo,0.0725,CA
2022,Termo,Lassen,0.0725,CA
2022,Thousand Oaks,Ventura,0.0725,CA
2022,Toms Place,Mono,0.0725,CA
2022,Topaz,Mono,0.0725,CA
2022,Trinity Center,Trinity,0.0725,CA
2022,Trowbridge,Sutter,0.0725,CA
2022,Tulelake,Siskiyou,0.0725,CA
2022,Tuolumne,Tuolumne,0.0725,CA
2022,Tupman,Kern,0.0725,CA
2022,Twain,Plumas,0.0725,CA
2022,Twain Harte,Tuolumne,0.0725,CA
2022,Twin Bridges,El Dorado,0.0725,CA
2022,Upper Lake/ Upper Lake Valley,Lake,0.0725,CA
2022,Vallecito,Calaveras,0.0725,CA
2022,Valley Springs,Calaveras,0.0725,CA
2022,Vina,Tehama,0.0725,CA
2022,Vinton,Plumas,0.0725,CA
2022,Virgilia,Plumas,0.0725,CA
2022,Vista Park,Kern,0.0725,CA
2022,Wallace,Calaveras,0.0725,CA
2022,Weaverville,Trinity,0.0725,CA
2022,Weimar,Placer,0.0725,CA
2022,Weldon,Kern,0.0725,CA
2022,Wendel,Lassen,0.0725,CA
2022,West Point,Calaveras,0.0725,CA
2022,Westlake Village (Thousand Oaks),Ventura,0.0725,CA
2022,Westwood,Lassen,0.0725,CA
2022,Wheeler Ridge,Kern,0.0725,CA
2022,Whiskeytown,Shasta,0.0725,CA
2022,Whispering Pines,Lake,0.0725,CA
2022,White Pines,Calaveras,0.0725,CA
2022,Whitmore,Shasta,0.0725,CA
2022,Wildwood,Shasta,0.0725,CA
2022,Willow Ranch,Modoc,0.0725,CA
2022,Willows,Glenn,0.0725,CA
2022,Wilseyville,Calaveras,0.0725,CA
2022,Winters,Yolo,0.0725,CA
2022,Witter Springs,Lake,0.0725,CA
2022,Wofford Heights,Kern,0.0725,CA
2022,Woodfords,Alpine,0.0725,CA
2022,Woody,Kern,0.0725,CA
2022,Yankee Hill,Butte,0.0725,CA
2022,Yolo,Yolo,0.0725,CA
2022,Yuba City,Sutter,0.0725,CA
2022,Zamora,Yolo,0.0725,CA
2022,Zenia,Trinity,0.0725,CA
