City,Rate,County
Echo Lake,0.0725,El Dorado
Echo Park (Los Angeles),0.095,Los Angeles
Edgemont (Moreno Valley),0.0775,Riverside
Edgewood,0.0725,Siskiyou
Edison,0.0725,Kern
Edwards,0.0725,Kern
Edwards A.F.B.,0.0725,Kern
El Cajon,0.0825,San Diego
El Centro,0.0825,Imperial
El Cerrito,0.0975,Contra Costa
El Dorado,0.0725,El Dorado
El Dorado Hills,0.0725,El Dorado
El Granada,0.0925,San Mateo
El Macero,0.0725,Yolo
El Modena,0.0775,Orange
El Monte,0.1,Los Angeles
El Nido,0.0775,Merced
El Portal,0.0775,Mariposa
El Segundo,0.095,Los Angeles
El Sobrante,0.0825,Contra Costa
El Toro (Lake Forest),0.0775,Orange
El Toro M.C.A.S.,0.0775,Orange
El Verano,0.0825,Sonoma
El Viejo,0.07875,Stanislaus
Eldridge,0.0825,Sonoma
Elizabeth Lake,0.095,Los Angeles
Elk,0.07875,Mendocino
Elk Creek,0.0725,Glenn
Elk Grove,0.0775,Sacramento
Elmira,0.07375,Solano
Elmwood,0.0925,Alameda
Elverta,0.0775,Sacramento
Emerald Hills (Redwood City),0.0975,San Mateo
Emeryville,0.0925,Alameda
Emigrant Gap,0.0725,Placer
Empire,0.07875,Stanislaus
Encinitas,0.0775,San Diego
Encino (Los Angeles),0.095,Los Angeles
Enterprise,0.0725,Shasta
Escalon,0.0775,San Joaquin
Escondido,0.0775,San Diego
Esparto,0.0725,Yolo
Essex,0.0775,San Bernardino
Etiwanda (Rancho Cucamonga),0.0775,San Bernardino
Etna,0.0725,Siskiyou
Ettersburg,0.0775,Humboldt
Eureka,0.085,Humboldt
Exeter,0.0775,Tulare
Fair Oaks,0.0775,Sacramento
Fairfax,0.09,Marin
Fairfield,0.08375,Solano
Fairmount,0.0825,Contra Costa
Fall River Mills,0.0725,Shasta
Fallbrook,0.0775,San Diego
Fallbrook Junction,0.0775,San Diego
Fallen Leaf,0.0725,El Dorado
Fallon,0.0825,Marin
Fancher,0.07975,Fresno
Farmersville,0.0875,Tulare
Farmington,0.0775,San Joaquin
Fawnskin,0.0775,San Bernardino
Feather Falls,0.0725,Butte
Fellows,0.0725,Kern
Felton,0.09,Santa Cruz
Fenner,0.0775,San Bernardino
Fernbridge (Fortuna),0.085,Humboldt
Ferndale,0.0775,Humboldt
Fiddletown,0.0775,Amador
Fields Landing,0.0775,Humboldt
Fig Garden Village (Fresno),0.07975,Fresno
Fillmore,0.0725,Ventura
Finley,0.0725,Lake
Firebaugh,0.07975,Fresno
Fish Camp,0.0775,Mariposa
Five Points,0.07975,Fresno
Flinn Springs,0.0775,San Diego
Flintridge (LaCanada/ Flintridge),0.095,Los Angeles
Florence,0.095,Los Angeles
Floriston,0.075,Nevada
Flournoy,0.0725,Tehama
Folsom,0.0775,Sacramento
Fontana,0.0775,San Bernardino
Foothill Ranch,0.0775,Orange
Forbestown,0.0725,Butte
Forest Falls,0.0775,San Bernardino
Forest Glen,0.0725,Trinity
Forest Knolls,0.0825,Marin
Forest Park,0.095,Los Angeles
Forest Ranch,0.0725,Butte
Foresthill,0.0725,Placer
Forestville,0.0825,Sonoma
Forks of Salmon,0.0725,Siskiyou
Fort Bidwell,0.0725,Modoc
Fort Bragg,0.08875,Mendocino
Fort Dick,0.075,Del Norte
Fort Irwin,0.0775,San Bernardino
